,text
2207,"サクラメッセージから逃げるな
"
2208,"しかもサクラメッセージ新しいPCに取り込んでなかったｗｗｗｗｗｗｗｗｗ
"
2209,"セトリでプレイリスト組んでてリスポの後がどうしても思い出せなかったんだけどリスポの後ってお前ｗｗｗｗｗｗｗｗｗｗｗｗ脳が完全に防衛体制に入ってる　人体の不思議
"
2210,"ナナライ毎週やってほしいしそれが生きる糧にはなるんだけどそれはそれでナナライを言い訳にして日々の逃げ道にしてしまうというのも否めないので一度ナナライと距離を置くのもいいと思いました
"
2211,"ナナライ毎週やって
"
2212,"これ前もRTしたけど三枚目マジで好き
"
2213,"クソリプ具合がうますぎて笑う
"
2214,"ラブゲでいちいち大騒ぎしてあっという間に終わってしまったと思ったら次がアレだから
"
2215,"トリガーの一挙手一投足に大騒ぎしてしまう
"
2216,"サクラメッセージで色々グチャグチャになるのにその後のオーサムかっこよくてちゃんと見たいから頑張らなきゃいけないんだよな
"
2217,"増田俊樹ありがと〜〜ー〜〜〜〜ーーーー
"
2218,"ナナライ現地含めて1日目を4回と2日目を2回見たことになるんだけどこの回数見たせいかサクラメッセージでちょっと楽しくなってしまってこれ多分感情がバグり始めたなと思った
"
2219,"私のナナライが終わってしまった・・・
"
2220,"ナナライ楽しかった〜〜〜〜〜〜 
"
2221,"赤ノーツの音久々に聞いた
"
2222,"久々にアシストなし判定強化なしで判定縮小入れて通常ライブやったらボロカスすぎてやばいｗｗｗｗｗｗｗｗｗまずい
"
2223,"戦い方を知ったからスコアタが楽しみ
"
2224,"成長の記録 
"
2225,"ほしい
"
2226,"かわいそうなわたしさよなら・・・
"
2227,"手つかずの世界とシンデレラといばらのみちが染みるオタク　私
"
2228,"これで遊んでたの2010年らしい 
"
2229,"懐かしすぎて死んでしまった
"
2230,"『　INTERIOR OF　増田俊樹増田俊樹　DEEP SEA　の』 
"
2231,"ジュラシックワールドのサムネが色々な二次創作で見かけるラプトルを制止してる場面で「狙ってるのか？」と思ってたんだけど私が狙われてたのか
"
2232,"やば🙄 あと来月もやばそう
"
2233,"いやしかし現状の形式だから全てひっくるめて「楽しかった！」で終われるけどランキング報酬でキャラ単体カード付けられたら絶対ついていけなくなる ソシャゲ怖い そのままでいてくれ
"
2234,"もうゆるして 
"
2235,"我が家に来てしまったばっかりに
"
2236,"環くんごめんねシリーズ 
"
2237,"エスペランサが元々好きな曲でかつやりやすかったのがでかい
"
2238,"これがデータテニス？！
"
2239,"今までのイベのボーダーから今回のを予想して目標pt決めてそれを日で割ってあと特効で固めるのかパフェコンを狙うのか〜とか考えるのがすごい楽しかった
"
2240,"いやほんとなんでイベント走るのかって考えると「やりたいから」という気持ちしかないのがやばい 楽しかった
"
2241,"ランキング前後めっちゃ天様に囲まれててやばい
"
2242,"今めっちゃ脱稿後の達成感と同じ気持ちになっててこれはシャブの予感
"
2243,"1週間ありがと〜〜〜🏄‍♂️🏄‍♂️🏄‍♂️ 
"
2244,"あと前回の花鳥風月走ってなかったらゴールド無くなって詰んでた気がする あとランクが低いから石も使う 日々の積み重ねが大事🤔
"
2245,"pt芸みたいな器用なことやる余裕無かったし60位あたりに留まるのも考えたけど「まだいけるな🤔」と思ってできるとこまで走った 最終日にやっと最適ペース掴めた気がするから次回に生かします
"
2246,"特効フレンズゆるぼしたら20人くらい友達になってくれてそれがなかったらここまで走れなかったので本当に助かりましたありがとうございました・・・😭イベント時は基本的に何かしらの特効カードをセンターにしてますが弱いと思ったら遠慮なく切っていただいて大丈夫ですので😭🙏
"
2247,"花鳥風月イベ長月お疲れ様でした〜〜〜〜初めての二桁😂嬉しい フレンド様本当にありがとうございました😭🙏 
"
2248,"オタ芸みたいな人が左右からめっちゃくるねん
"
2249,"使うユニット間違えてカットインでめちゃくちゃ応援されてクソ笑いながらスクショ撮ったやつ 
"
2250,"14時ごろに特効フレンドが一人ずつ帰ってきてそれをまた一人ずつお借りしながら「これが今回のイベントの最後の拝借になるのか」ということに気づきひとりひとり名前を見ながらありがとうの思いを込めて叩いてたらエモい気持ちになった
"
2251,"終わった・・・
"
2252,"六弥ナギが「ツキビト」だったこと今知ったんだけど思わず「顔が綺麗ですねｗｗｗｗｗｗｗｗｗ」と笑ってしまったものの気付くのが遅すぎでは
"
2253,"メンインブラック3うっかり泣いた🤦‍♂️
"
2254,"ナギ！7人重なった時〜 
"
2255,"なんか色々思い出してきたけどケンショー先生を初めて生で見たのはテニミュ2ndだったし日替わりネタが面白くて「この人心が強そう」と思ってた・・・
"
2256,"あと増田俊樹の「目」の演技が好きなんだけどそういえばテニミュで幸村やってた時にもそれ思ってた 目がすごい
"
2257,"これを言い出したら全員分話をしたくなるけどそれをするのは明日の17時以降だ
"
2258,"増田俊樹見れば見るほど好きになってしまうな・・・
"
2259,"江口拓也ありがとーーーーーーーーーーーー
"
2260,"身体が「ナナライは定期的に見れるもの」だと思い込んでいるので一刻も早く円盤化してくれないと生活リズムが狂う
"
2261,"約1週間ぶりにペランサ以外のアイナナ曲聴いた
"
2262,"アイナナ警察スピンオフアニメきたら死にます
"
2263,"警察マジですごいな・・・
"
2264,"ナナライ最高だったーーーー〜〜〜
"
2265,"同人誌か？！？！！？！！！？
"
2266,"「平凡な日常」のラビチャは実際全然平凡な日常ではない
"
2267,"ずっと言ってるけどドラマで詐欺師の役やって六弥ナギ
"
2268,"六弥ナギが嘘つかなきゃいけない状況にいるのはつらいのに「嘘つくのがうまい六弥ナギ」は好きだから地獄
"
2269,"詐欺師の才能ありそうだしな
"
2270,"六弥ナギ実際オーシャンズに入れる〜〜〜〜〜〜〜〜〜〜〜〜〜〜🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️
"
2271,"ワタシは武士系です！ 私は家系！ 私は行政書士
"
2272,"ゴールドに物を言わせている編成なのでアラームを聴きながらパフェコンを取れます
"
2273,"ナギくん「あちらから賑やかな音が聞こえてきます☺️✨」 私「アラームや」 
"
2274,"幕末Rockはアニメが狂いすぎててアニメからゲームに入るとゲームがまともすぎてびっくりするんだけどもしかしたら「まとも」の概念から狂わされただけかもしれない
"
2275,"そーちんってそういえばケンショー先生・・・？！？！
"
2276,"幕末Rockマジで最高だから
"
2277,"幕末Rockがトレンドに入っててクソ笑い申した
"
2278,"ラ イ ト フ ュ ー チ ャ ー 
"
2279,"喧嘩をするな 
"
2280,"オーシャンズ13でベネディクトが協力してしかも出で立ちが完全にワルなのマジで脳汁出る🤑🤑🤑
"
2281,"URバンザイ組 
"
2282,"最高だなぁ！？
"
2283,"全員いい女！！！！！！！！！！
"
2284,"ガルパン劇場版観て馬鹿みてえに泣いてたら4時
"
2285,"眠いからナギぬいとナギクッションに埋もれて寝てたら六弥ナギのセリフの数々が高校の夏期講習で穴埋め問題として出される夢見た
"
2286,"ホームの六弥ナギ「あちらから賑やかな音が聞こえてきます☺️✨」 イベントを走る私「他人事か？」
"
2287,"ホームの六弥ナギ「あちらから賑やかな音が聞こえてきます☺️✨」 イベントを走る私「俺だ俺だ俺だ俺だ〜〜〜〜〜〜〜〜〜！！！！！！！！！！🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉」
"
2288,"小さい頃ハムナプトラめっちゃ好きだったな〜〜〜〜なぜか〜〜とか思いながら見返してるんだけどオコーネルのビジュアルめっっっっちゃ好きだわ
"
2289,"ていうかふと思ったんだけど西住殿とまほ姉の関係って陸くんと天にいの関係にわりと似てる気がする
"
2290,"黒森峰戦まーーーーじでどのチームもめっっっっちゃいいしそして黒森峰がもうあかんねん　てか前見たときより泣いててウケる　ウケない
"
2291,"ま゛ほ姉゛
"
2292,"ガルパン最高すぎて要所要所で汚く泣いてしまう
"
2293,"元々音ゲーは好きだったんだけど精度がクソな自覚があってそこは治せないと思ってたんだけどやりようによってどうにかなるのが面白い
"
2294,"1日でランクが3つ上がったの初めてなんだけどまだ上がりそう🤔
"
2295,"ワロタ
"
2296,"ガルパン頭から見直してて今アンツィオ戦なんだけどカルパッチョがカエサルの戦車に気づいてその上で「私に任せてください！」と言い切る場面で「ア゛ッ；；；；；；ア゛ッ；；；；；；」と醜く泣いてしまうし一騎打ちまじでやばいしそしてカルロヴェローチェの立て直しでわけわからんくらい泣く
"
2297,"お足元にて文字を打たせていただきます！ありがとうございます！ 
"
2298,"このアクスタ最高に良い！！！！！！！ 
"
2299,"かわいい😭（自慢） 
"
2300,"貴様はいつも楽しそうだし一生楽しそうにしろ 
"
2301,"「この一曲が終わったらやめよう」と思うとランクが上がり「フレンドがいなくなったらやめよう」と思うと最初のフレンドが帰ってくる
"
2302,"フレンドありがとうございました！！！！！やったーー！！
"
2303,"心が乱れたから綺麗めの絵を上げて戒めとす
"
2304,"「円環の理」のなかに「環」と「理」の文字が入ることに気づいてしまったんですが・・・！？？！？！？！
"
2305,"アイナナの気分転換にお絵かきしてお絵かきの気分転換にアイナナしてそれを繰り返すと円環の理に導かれる
"
2306,"サクラメッセージとドスケベインナーの間を揺れ動くと高山病で死ぬ
"
2307,"お前はそのまま刀のコスプレしろ
"
2308,"いやいやいや
"
2309,"インナー🤔 
"
2310,"指より先に肘が痛くなることを知った
"
2311,"でもその方向性のおかげで精神は強くなるから4部生き抜こ
"
2312,"ピタゴラスファイターでもよかったじゃねえかよお〜〜〜〜〜〜
"
2313,"イベント楽曲にサクラメッセージがあるのはまあいいとして（よくはない）一番上にあるおかげでログインするたびチョロっと聴かされるのは何 俺らが何をしたというんだ なんだ 来世まで背負えと
"
2314,"私そういうバランスに多大なる興奮を覚えるタイプのムッツリだから本当に勘弁してくれよな・・・・・・・・・・・・・・・
"
2315,"首に布あるのに胸元開いてるドスケベインナー着てるくせに袖で見せない人じゃん・・・・・・・・・・・・ 
"
2316,"そうかサイバーテクノのナギは袴とかじゃなくて普通にお着物・・・ほわ〜〜〜〜・・・金髪碧眼にそれを着せる・・・・・・ホワ・・・
"
2317,"六弥ナギ銀河鉄道999のサビ歌うのめっちゃうまそうｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
"
2318,"夢全部叶う！！！！！！！！
"
2319,"よかったね 
"
2320,"そういえばめくってなかっああああああわわわわ〜〜〜〜〜〜〜〜💥💥💥💥💥💥💥💥💥 
"
2321,"似合うことが約束されているので・・・
"
2322,"ハイネックにトレンチコートの気配を感じる
"
2323,"やったーーーーーーーーーーーーーーーナギとユキさんだーーーーーーーーーーーーーーーー
"
2324,"かわいい〜 
"
2325,"リスポを抑えてサクラメッセージ一曲目なのおもろい　おかしいだろ
"
2326,"いやまあね　冷静に考えてそりゃナギといえはサクラメッセージでしょう　そりゃね　そうだけどね　そうだけどね・・・・・・・・そう・・・・・・・
"
2327,"ナギがいるイベント楽曲にサクラメッセージをぶつけてくる運営の血は何色かなぁ！？！？？！？！？！？？！？！
"
2328,"色々水彩セット by 星瞬  #clipstudio まだ全然使いこなせないけど楽しい
"
2329,"つら　踊ろ
"
2330,"June is Natural 
"
2331,"迷宮壁の再生回数285でわろた
"
2332,"June is Naturalが　よすぎる
"
2333,"久々に一面の六弥ナギ見たら腹を下して自分でも引いてるところ
"
2334,"六弥ナギを見ると寿命が伸びるけど六弥ナギの言動によってその寿命を削るのでプラマイゼロむしろマイナスです
"
2335,"推しを見てほしかっただけです
"
2336,"見てーーーー！！！！！！！！！　
"
2337,"ナギぬい触ろ
"
2338,"ナギぬいを触るとやる気が出るのは理にかなっていたのか・・・・・・
"
2339,"😋 
"
2340,"なんか漠然と落ち込んでたはずなんだけど推しの体重の話してたらテンション上がってきたから筋肉は裏切らない
"
2341,"あと「推しの体重を聞かれる」ことに嬉しさを見出してるかもしれない すごい楽しくなってしまう 推しの体重めっちゃ聞かれたい
"
2342,"あと私が体重にうるさいのを知ってる&ナギが好きなのを知ってる&ナギの体重は知らない人から「ナギの体重っていくつなの？」と聞かれることが何回もある（その時点でウケることに今気づいた）んだけどそのたび「◯◯キロなんですよ〜〜！！！！」… 
"
2343,"樽美酒の腹側めっちゃ綺麗だな〜〜〜〜〜〜ウエストの細さもちょうどいい・・・素晴らしい
"
2344,"なぜ180cm70kgがいいんですか？と聞かれることが多々あるんですが私が理想とする体型を作るには180cm70kg必要なのです
"
2345,"樽美酒のプロポーションまじで理想的なんだよな 好き 素晴らしい
"
2346,"ナナライでナギが喋るたび笑いが起こるの不思議だった、私が慣れてるだけか？という話を以前したけど新たに実装されたジーツースツーージオ‼️‼️‼️やYou've Got Mail‼️‼️‼️を聞くたびﾌﾌｗｗｗと笑ってしまうのでマジで… 
"
2347,"はあ・・・ 
"
2348,"金髪碧眼が和服着てそれらしい仕草してるの最ッッッッ高だな〜〜〜〜〜〜〜〜〜！！！！！！！！おそらく周知の事実だけど
"
2349,"めっちゃサラダ見るやん 
"
2350,"目を細めた表情と一口に言っても花鳥風月は神隠しされた先でここな漬けにされそう〜とまだそういう妄言をのたまう余地がある気がするけどAGFのジューヌさんは顔見た瞬間ﾋｭｯｯｯｯｯと思わず目を閉じた瞬間意識なくしそう
"
2351,"体重70kg台の六弥ナギが詰襟着てるとあ〜生きててよかったな〜と思いませんか？私は思います
"
2352,"水に浸けたら増えた 
"
2353,"逆光と順光で雰囲気変わりますね・・・
"
2354,"まじかるここな見なきゃ〜〜〜〜〜〜〜！！！！！！！！！！
"
2355,"はあああ〜〜〜〜〜〜！！！！！！！！！！！！ 
"
2356,"ｱｲﾄﾞﾘｯｯｯｯｯｯssssss(解脱)　ｾｳﾞｯｯｯｯｯtttttt(涅槃)
"
2357,"ｼﾞｰｰﾂｰｰｽﾂｼﾞｰｰｵ💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥⚡️🔥⚡️⚡️⚡️🔥🔥🔥🏊‍♂️🏊‍♂️🏊‍♂️🏊‍♂️🏊‍♂️🏊‍♂️🏊‍♂️🏊‍♂️🏊‍♂️
"
2358,"💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥💥 
"
2359,"六弥ナギのジーツースツジーーオ！！！！！！！！に合わせて拳を掲げると生きる気力が湧く
"
2360,"課金してからガシャチケで回したらーーーー〜〜〜〜ーーーー？？？？！！！？！？？！？！？！！！ 
"
2361,"隣にいる天さんに対して気まずくなるセリフやめろ 
"
2362,"エンターテイメント野郎・・・
"
2363,"起動し直したらナギのジーツースタジオきたｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
"
2364,"カオルのジーツースタジオやばいｗｗｗｗｗｗｗｗｗ
"
2365,"ナイトプールめっちゃかわいいんだけどデイブレのコンボ課題のキツさはいつかのホワイトデービンゴのピタゴラのコンボで苦しんだことを思い出した 
"
2366,"六弥ナギの瞳は空 テストに出ます
"
2367,"🤦‍♂️ 
"
2368,"六弥ナギの好きなところゲーム 👏👏 体重 👏👏 かわいい 👏👏 「俺の嫁」的存在が時代、流行に左右されない 👏👏 微笑みを絶やさない 👏👏 身内以外にはわりと慈悲がない 👏👏
"
2369,"イラスト集は1月かな〜〜〜〜
"
2370,"謝肉祭もアリだったな〜とは思った
"
2371,"11/24(土)トプステ申し込みました〜　新刊オールキャラ本と何かしらもう一種出したいです　サークル名が「70kg台感謝祭」に変わりましたが活動の方向性は今までと全く変わらずただサークルとしての自我が芽生えただけです　よろしくお願… 
"
2372,"これ以上最強の「六弥ナギ」を作ろうとするな・・・
"
2373,"定期的に推しの蠱毒作ってるな 
"
2374,"蠱毒かな？ 
"
2375,"カメラを止めるな！すげー面白かった・・・
"
2376,"去年とかその前とかなんなら普段いただくリプも返せてないことが多くて本当に申し訳ない　読んでます　いつもありがとうございます　生きよう
"
2377,"私のアイコンかわいいーーー！！！！！
"
2378,"私松潤と一緒なのは知ってたけどノクトとも一緒なのか　やべーな
"
2379,"今日私はありったけの未読ストーリーとラビチャを読むんじゃ
"
2380,"わーーー生まれた
"
2381,"久々にナギ氏のｼﾞｨｰﾂｰｽﾂｼﾞｰｰｰｰｵ💥💥💥💥💥💥💥💥聞けて喜びすぎてTシャツ前後ろ逆に着てしまった
"
2382,"天にいと六弥ナギ最近仲良いからもう一緒に秋葉原行ってもおかしくないな
"
2383,"8/30が誕生日の私へのプレゼントか〜〜〜〜！？！？！？！？！？？！？！ 
"
2384,"文字書いてるだけで楽しいとか人生のコスパがよすぎる
"
2385,"新しくDLしたペンの試し書きしてて「踊りましょう」と書いたつもりが「通りましょう」と書いてて自爆した 
"
2386,"アップル系統の予測変換と仲良くなれない👹
"
2387,"DIAMOND FUSIONのイントロ聴くと反射的に血が湧き肉が踊ってしまうのでこの現象をパブロフの犬風に言うとDIAMOND FUSIONの俺になる
"
2388,"推しの字が難しすぎる
"
2389,"「増やさない」というワードはすでに発売済みのものに適用される言葉なので（つまり）
"
2390,"ちゃうねん 初代の再販版を持ってなかったからしょうがないの
"
2391,"もう、増やさない！ 
"
2392,"雷すごすぎてパソコン触れないからナギぬい達のへそを隠して回るくらいしかやることがない
"
2393,"いいですか？ウィンガーディアム・レビオーサですよ　タマキのはレビオサー
"
2394,"バｳｫ⤴︎・ｻﾞｯケーﾙｶﾞ
"
2395,"そりゃな
"
2396,"あと自分が描いた六弥ナギ見て「強そう〜」と他人事のような感想覚えるけど前提として私は六弥ナギのことを「強い」と思ってるからそうなるんだなとやっと気付いた　あと体重がありそう
"
2397,"肩周りにボリュームあって下半身がストンとしてるバランス最高に好きなんだよな〜
"
2398,"ズールと3周年ストーリー今月中に読みます！！！！！
"
2399,"すごい久々にちゃんとペン入れした気がするんだけど「私ペン入れできるんだ〜」と思いました
"
2400,"多分そういう話ではない
"
2401,"強そう
"
2402,"観測者 
"
2403,"このリバレ本当いいな〜〜〜
"
2404,"本当いつも思うけどアイドルジャンルかつ新衣装がバカスカ出るのすごすぎる　ありがたい
"
2405,"ママーーーーーーーーー！！！！！！！！！！！
"
2406,"これ私がやりたかったやつ Aug 27, 2018 ぼくミュージカル映画だいすき
"
2407,"スノボモンソ 
"
2408,"一生離れんじゃねえぞ… 
"
2409,"リターンズの女優さんプラダを着た悪魔のエミリーだよね？歌うま！
"
2410,"メリーポピンズリターンズに備えて無印復習するか
"
2411,"目線が…
"
2412,"バナッシュって私が生まれる前の作品だったの！？こんな名作を知らずにずっと生きていたなんて…アニメ化してくれて本当にありがとう…次は俺が次の世代に引き継ぐからよお！安心しな！
"
2413,"少し前マッマに🍌🐟知ってるか聞いてみたら作者とタイトルは聞いたことがあると答えたのでハマったら漫画買わせたろってアニメ鑑賞会したんだけど彼がレイプされたりするのを見てしゅん…としていたので(ここでしゅんとしていたら今後の鬱展開に耐えられないから)観るのやめなと止めた
"
2414,"命はうまい
"
2415,"お湯のしらたま犬は布を被っています  #しらたま犬  今日寒いもんね…❄️
"
2416,"なんやて
"
2417,"うわぁ〜〜この前私とデートしたとき着てた服じゃん…
"
2418,"とときん恒常！？スカチケ待つか…？とりあえず1日2回引けるのでまだ大丈夫だ 大丈夫だまだ慌てる時間じゃない
"
2419,"楽くんはデミグラス顔だけどケチャップ派なんだよね おじさんには分かるよ
"
2420,"天くんと楽くんはオムライスの卵がふわとろか堅焼きかで喧嘩するよ
"
2421,"すみっこのとかげさんの写真やイラストが見たくて検索してたらとかげのエサのネズミの死体が出てきて心に傷を負った
"
2422,"女の子 
"
2423,"🍌🐟の衝撃をi7で例えると数々の苦労を乗り越え無事5周年をむかえたID◯LiSH7のセンター七◯陸が実の兄と無事和解を果たし明日から一緒に暮らそうと約束をした翌日家族の元へ向かう途中に七◯陸が交通事故で亡くなる感じ…(個人の意見です)
"
2424,"いつも絵は自分の心を満たすために描いてるんだけどバナナくんは空いた心の穴を埋めるような感覚で描いてる…ような気がする…(…)
"
2425,"割り箸が割れないねこアッシュとうさ英二 ※IQ2 
"
2426,"修正のついでに飴ちゃんとか足してみた
"
2427,"あなたのおくちでとろけるのぉ〜♪ 
"
2428,"vibratoみた！ナギくん😭ｶﾜｲｲ...
"
2429,"😭 
"
2430,"DHCってよくディ◯ニープリンセスとコラボしてるよね つまりアイドリッシュセブンはディ◯ニープリンセス
"
2431,"今日4部で環が死ぬ夢見た(……………)
"
2432,"受が攻の名前を呼びながら1人えっちしているところに「呼んだ？」っていきなり攻が登場するやつを見つけると出た！！！忍者だ！！！！と喜んでしまう
"
2433,"アッシュくん修正したい…上げてから修正したくなるこの現象何…？
"
2434,"IQ200超えの天才カリスマ美少年が卑猥なお歌を歌いながらおまたをパカパカする映像をみたい人は🍌🐟をみてください
"
2435,"98、付き合ってないけどセックスはしないし間違えてキスもしないし8は紡と結婚する(…？)
"
2436,"6日の次の日って何日だっけ8日だっけ
"
2437,"毛玉吸いシャブキメセラピー
"
2438,"飼い猫、地球上に存在する全ての猫の中で一番かわいいいし1億年後も永遠に一番かわいい
"
2439,"バーバラちゃんかキャンディバーちゃんかきたい
"
2440,"お湯のしらたま犬は爆睡しています  #しらたま犬 
"
2441,"メリーポピンズ観に行きたい
"
2442,"ケモ耳パーカー着せてぬいっぽい2人を描きたいんだけど二次創作的に大丈夫かな…公式に準じてアッシュくんは猫で英二くんは兎にするつもりだけど…
"
2443,"えいじくんとアッシュくんの生きた動物のぬいぐるみ欲しい(生きた動物のぬいぐるみとは)
"
2444,"必死になって 何者からも守ると誓った 誰よりも優しかったあの子  #きみの性癖を揃えろ #スロットメーカー はい奥村英二〜〜〜〜〜〜〜〜涙
"
2445,"ふんわりいちご 
"
2446,"あいぬいとは
"
2447,"たまに予測変換おかしくなる
"
2448,"ここまで入力してるのに2番目にアソシエイト食い込んでくるの謎すぎ こいつ先の先を読んでやがる 
"
2449,"楽のタピオカミルクティーは楽くんの体内で生成されたタピオカが入っているということですか？(おたくは日本語が理解できない)
"
2450,"楽くんのふんわり甘い苺クレープかわいすぎないか…？抱かれたい男No. 1がふんわりって…ふわあまの幼女じゃん…ポメラニアンじゃん…毛じゃん…(…?)
"
2451,"ま〜〜〜〜た知らない間にカフェが開催した
"
2452,"よちよちアッシュくん 
"
2453,"Trust Meがあまりにも英二くんだからみんな聴いて 
"
2454,"ファンが制作した動画で使用されてたTrust Meって曲がめちゃくちゃ英二くんで最高だった…アニメのエンディング曲らしい 番外編がアニメ化したのかと思った…
"
2455,"八乙女ブレンド Picrewの「紅茶メーカー」でつくったよ！  #Picrew #紅茶メーカー
"
2456,"お洋服着たドンちゃんほんとかわいい 
"
2457,"猫だから 
"
2458,"夜明けと共に 
"
2459,"ていうかアッシュくんレイプされすぎでしょ…おじさんの穴と交換してあげたい…
"
2460,"ウワ〜〜〜〜〜〜分かってたつもりだけどやっぱりツラいな ツラい 現実逃避をしていたので現実に顔面を思いっきり殴られた気分だ
"
2461,"英二くん28歳にして未亡人の色気がすごい
"
2462,"光の庭を読んで救われたかと聞かれたらはっきりと答えは出せないんだけどなんか安心した…本編で後日談とか無かったから…彼がこの世を去った後も穏やかな光が続く世界線を確認できただけで少しだけ前向きな気持ちになれた…時間と共に前を向いて歩けるようになるんだって…人間は強いんだって…
"
2463,"光の庭(19巻)読んできます…………………
"
2464,"白くて もこもこな ヤオポメラニアン  #八乙女かポメ #スロットメーカー
"
2465,"モンがく、外で変な人に会ったらこの防犯ブザーの紐をひっぱるんだよ、分かったね #anokokawaii 
"
2466,"重版待てないので光の庭電子書籍で読みます
"
2467,"市場調査？みたいなアンケになってしまったのでよろしくなかったら消します！
"
2468,"モンぬいが再販したら
"
2469,"ていうかモンぬい難民どれくらいいるんだろ 殆どのおたくは持ってるのかな
"
2470,"3万のモンたま落札されてる…
"
2471,"メル◯リでモンそとモンたまのセットが6万で売られてる…ヒェ…
"
2472,"チョコバナナ食べたい！！！！！🍫🍫🍌
"
2473,"アイナナちゃんは顔面が好きすぎる故に自分の絵が理想像とかけ離れすぎてて描きたいけど描きたくない…自分の手で汚してるような気がして…わかるか…？好きだからたまに描くけど…
"
2474,"バナッシュくん顔面だけが好きで描いてる訳じゃないから理想像のプレッシャーがなくてのびのびできて楽しい
"
2475,"関節バッキバキ
"
2476,"skiskiA英ちゃん 
"
2477,"微妙だったのでちょっと修正して色つけた
"
2478,"ツインテ楽くん 
"
2479,"天くん風呂から自室までの乾燥を防ぐ用の軽めの化粧水洗面台に置いてそう化粧水2回つけてそう
"
2480,"3人が同居を始めてから消費が激しくなった天くんのスキンケア(楽くんが勝手に使うので…)
"
2481,"幻覚で番外編見に行こうとするのやめろ
"
2482,"もうドラッグ使って見に行くしかないのか
"
2483,"光の庭など無い
"
2484,"私はいつになったら光の庭というものを読めるのか
"
2485,"花粉の攻撃を受けている…私はもう駄目だ…お前らは先に行け…！
"
2486,"疲れたを連呼していたらおもむろにモンがくが小さなポンポンをどこかから取り出し応援をし始めてくれた 元気百倍だよ 
"
2487,"自分の絵が上手くないことを理解しているので推しをかこうとすると顔が好きすぎる故に変なプレッシャーと理想と現実に打ち砕かれて筆を投げ出しちゃうんだよな わかる
"
2488,"アイドリッシュセブン、死んでほしいオジサンが多すぎるんだよな(唐突な殺意)
"
2489,"君可愛いただきました〜〜〜〜〜〜〜
"
2490,"ツインテの日の楽くんかいてる
"
2491,"マジコーミラコー
"
2492,"急にお腹空いてきてとんこつラーメンを食べてきたんだけどアニナナの15話を耐えたので深夜のとんこつラーメンも0カロリーになる
"
2493,"ナオトインティライミ？
"
2494,"推しがいい男すぎて推しが分からなくなってきた(はいはい)
"
2495,"割と本気で宗助から楽くんのような人格者が生まれたの理解し難いから死ぬまでに答えを出したいですね(はいはい)
"
2496,"TRIGGER担黙ってくれ まじで
"
2497,"TRIGGER担でIDOLiSH7未習得はにわか
"
2498,"一挙混ざってくる！
"
2499,"えっちだ…………………………
"
2500,"もうどっちが棒でどっちが穴とか関係無い2人がセックスしてるだけで尊い幸せな顔で笑いあってるだけで尊いていうかセックスとかしなくていい隣にいてくれるだけでいいそれだけでいい(でもセックスはしてほしい)
"
2501,"すごい私英Aもイケる…逆もイケる…完全にイケる…100年腐女子やってきてこんなこと始めてだ…ジーザス…
"
2502,"ドンぬいチョコ 
"
2503,"やったー！ご協力ありがとうございました！ 
"
2504,"モンチャンの可愛さで人類滅亡！ 
"
2505,"私もじゃがりことチーズをこねくり回すやつやりたい
"
2506,"自分のかわいさ自覚毛玉 
"
2507,"チョコめちゃくちゃ余ってるから貰ってって
"
2508,"チョコが欲しいモンチャンシリーズ ちょっと続いています
"
2509,"揺らせ激しくHeart Beat♪ 
"
2510,"かわいい！！！！ 
"
2511,"みちゅ… 
"
2512,"遠回しに振る大和シリーズすこ 
"
2513,"チョコを配る目的が無いのにチョコを配るとチョコが貰えるのでチョコを配るとチョコが貰えチョコを配りチョコを貰いチョコを配って貰って配れば貰えチョコをチョコが配貰配貰配貰配貰ってああああああああああああああああああああああああああああああああああ
"
2514,"誰だてめーちんちんハメるぞ 
"
2515,"二階堂大和 
"
2516,"じゃがサンキュー 
"
2517,"… 
"
2518,"へい！ 
"
2519,"セリフ変えられるのか
"
2520,"今年も大喜利チョコの季節がやってきたか
"
2521,"イイ！！！！！！！！！ 
"
2522,"キャンバスサイズ小さくしてからイメージを形にしやすくなった…すごい…大きいサイズで描いてる人小さくしてみて…全然違うから…かきやすいから…
"
2523,"途中のスキー英ちゃん 
"
2524,"コジコジはいいぞ
"
2525,"BLかくと恥ずかしくなって体搔きむしりたくなるんだけどこの2人はなんか知らんが大丈夫だ…脳がBLだと認識していない…？(ん…？)
"
2526,"冬のA英ちゃん 
"
2527,"す…すごい…(ビールの作画が)
"
2528,"sumikaってヒトの曲イイ！
"
2529,"逢坂壮五のLINEプロフィールメッセージのモノマネします！ Musicholic....🌈
"
2530,"スキーのCMの曲すこ
"
2531,"布団の外は危ない。
"
2532,"バナッシュくんびっくりするくらいかきやすい なんでやろ
"
2533,"このまえかいたA英ちゃん 
"
2534,"可能です！ 
"
2535,"ぬいが死ぬ時は持ち主に忘れ去られた時だよ
"
2536,"ブロックしないでください！
"
